id,aircraft_type,aircraft_model,total_casualties,passenger_casualties,crew_casualties,nonFlying_casualties,date,total_flying_casualties,year,month,decade,airline_1,airline_2,airline_3,phase,location_country,airport,distance_km,aircract_model
416,Douglas,DC,61,47,14,0,1961-05-30,61,1961,5,60s,Viasa Flight,NA,NA,ENR,Portugal,,NA,DC
417,Douglas,R6D,61,50,11,0,1960-02-25,61,1960,2,50s,US Navy,Real Transportes Aéreos,NA,APR,Brazil,GIG,5,R6D
418,Douglas,DC,61,52,9,0,1958-05-18,61,1958,5,50s,Sabena,NA,NA,APR,Morocco,CAS,0.6,DC
419,Douglas,DC,61,55,6,0,1957-12-08,61,1957,12,50s,Aerolíneas Argentinas Flight,NA,NA,ENR,Argentina,,NA,DC
420,Consolidated,B,61,0,3,58,1944-08-23,3,1944,8,40s,US Army Air Force,NA,NA,APR,UK,EGNO,NA,B
421,Consolidated,B,61,0,11,50,1943-09-07,11,1943,9,40s,US Air Force,NA,NA,UNK,Papua New Guinea,,NA,B
422,Antonov,An,60,54,6,0,2005-07-16,60,2005,7,2000-2010,Equatorial Express Airlines,NA,NA,ENR,Equatorial Guinea,,NA,An
423,Boeing,737,60,49,6,5,2000-07-17,55,2000,7,90s,Alliance Air Flight,NA,NA,APR,India,PAT,2,737
424,Airbus,A310,60,50,10,0,1995-03-31,60,1995,3,90s,TAROM Flight,NA,NA,ENR,Romania,,NA,A310
425,Mil,Mi,NA,NA,NA,0,1993-10-04,NA,1993,10,90s,Georgian Air Force,NA,NA,UNK,Georgia,,NA,Mi
426,Fokker,F27,60,57,3,0,1986-08-16,60,1986,8,80s,Sudan Airways,NA,NA,ENR,South Sudan,,NA,F27
427,Boeing,737,60,60,0,0,1985-11-24,60,1985,11,80s,EgyptAir Flight,NA,NA,STD,Malta,MLA,NA,737
428,Tupolev,Tu,60,50,10,0,1975-09-30,60,1975,9,70s,Malév Flight,NA,NA,APR,Lebanon,BEY,10,Tu
429,Vickers,Viscount,60,55,5,0,1972-10-27,60,1972,10,70s,Air Inter Flight,NA,NA,ENR,France,,NA,Viscount
430,de,Havilland,59,53,6,0,1989-06-21,59,1989,6,80s,Fuerza Aérea del Peru,NA,NA,ENR,Peru,,NA,Havilland
431,Vickers,Viscount,59,54,5,0,1979-02-12,59,1979,2,70s,Air Rhodesia Flight,NA,NA,ENR,Zimbabwe,,NA,Viscount
432,Tupolev,Tu,59,59,0,0,1977-12-02,59,1977,12,70s,Libyan Arab Airlines,NA,NA,ENR/LDG,Libya,,NA,Tu
433,Vickers,Viscount,59,55,4,0,1976-08-15,59,1976,8,70s,SAETA Flight,NA,NA,ENR,Ecuador,,NA,Viscount
434,Boeing,747,59,55,4,0,1974-11-20,59,1974,11,70s,Lufthansa Flight,NA,NA,TOF,Kenya,NBO,1.1,747
435,Curtiss,C,59,12,3,44,1967-04-08,15,1967,4,60s,Korean Air Force,NA,NA,ENR,South Korea,,NA,C
436,Lockheed,KC,59,57,2,0,1965-08-24,59,1965,8,60s,US Marine Corps,NA,NA,TOF,China,HKG,NA,KC
437,Ilyushin,Il,59,50,9,0,1961-12-17,59,1961,12,60s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
438,Douglas,DC,59,55,4,0,1960-02-05,59,1960,2,50s,Lloyd Aéreo Boliviano,NA,NA,ENR,Bolivia,,NA,DC
439,Douglas,R6D,59,50,9,0,1956-10-10,59,1956,10,50s,US Navy,NA,NA,ENR,Atlantic Ocean,,NA,R6D
440,Curtiss,C,59,55,4,0,1945-10-12,59,1945,10,40s,US Army Air Force,NA,NA,APR,China,NAY,25,C
441,Antonov,An,58,52,6,0,1992-07-14,58,1992,7,90s,Yemen Air Force,NA,NA,ENR,Yemen,,NA,An
442,Tupolev,Tu,58,55,3,0,1985-02-01,58,1985,2,80s,Aeroflot Flight,NA,NA,ICL,USSR,MSQ,10,Tu
443,Tupolev,Tu,58,57,1,0,1979-03-17,58,1979,3,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
444,Douglas,C,58,53,5,0,1973-03-19,58,1973,3,70s,Air Vietnam,NA,NA,APR,Vietnam,BMV,6.5,C
445,Douglas,C,58,55,2,1,1968-09-28,57,1968,9,60s,Pan African Airlines,NA,NA,APR,Nigeria,PHC,1.5,C
446,Boeing,727,58,53,5,0,1965-11-08,58,1965,11,60s,American Airlines Flight,NA,NA,APR,US,CVG,3,727
447,Douglas,DC,58,51,7,0,1964-02-25,58,1964,2,60s,Eastern Air Lines Flight,NA,NA,ENR,US,,NA,DC
448,Lockheed,1049E,58,49,9,0,1957-07-16,58,1957,7,50s,KLM Flight,NA,NA,ENR,Indonesia,,NA,1049E
449,Lockheed,L,58,51,7,0,1955-07-27,58,1955,7,50s,El Al Israel Airlines Flight,NA,NA,ENR,Bulgaria,,NA,L
450,Douglas,DC,58,50,8,0,1953-07-12,58,1953,7,50s,Transocean Air Lines Flight,NA,NA,ENR,Pacific Ocean,,NA,DC
451,Douglas,C,58,51,7,0,1950-11-13,58,1950,11,40s,Curtiss Reid Flying Services,NA,NA,ENR,France,,NA,C
452,Douglas,DC,58,55,3,0,1950-06-23,58,1950,6,40s,Northwest Orient Airlines Flight,NA,NA,ENR,US,,NA,DC
453,Fokker,Super,58,0,5,53,1938-08-24,5,1938,8,30s,Japan mid-air collision,NA,NA,ENR,Japan,,NA,Super
454,McDonnell,Douglas,57,50,7,0,2007-11-30,57,2007,11,2000-2010,Atlasjet Flight,NA,NA,APR,Turkey,ISE,12,Douglas
455,Antonov,An,57,52,5,0,2000-11-15,57,2000,11,90s,ASA Pesada,NA,NA,ENR,Angola,,NA,An
456,Boeing,737,57,52,5,0,1994-12-29,57,1994,12,90s,Turkish Airlines Flight,NA,NA,APR,Turkey,VAN,4,737
457,Ilyushin,Il,57,50,7,0,1989-10-18,57,1989,10,80s,Soviet Air Force,NA,NA,ENR,USSR,,NA,Il
458,Vickers,Viscount,57,52,5,0,1979-04-23,57,1979,4,70s,SAETA,NA,NA,ENR,Ecuador,,NA,Viscount
459,Antonov,An,57,53,4,0,1971-12-01,57,1971,12,70s,Aeroflot Flight,NA,NA,APR,USSR,RTW,13,An
460,Curtiss,C,57,52,5,0,1964-06-20,57,1964,6,60s,Civil Air Transport,NA,NA,ICL,Taiwan,RMQ,NA,C
