id,aircraft_type,aircraft_model,total_casualties,passenger_casualties,crew_casualties,nonFlying_casualties,date,total_flying_casualties,year,month,decade,airline_1,airline_2,airline_3,phase,location_country,airport,distance_km,aircract_model
17,McDonnell,Douglas,261,247,14,0,1991-07-11,261,1991,7,90s,Nigeria Airways Flight,NA,NA,APR,Saudi Arabia,JED,2.8,Douglas
18,Ilyushin,Il,257,247,10,0,2018-04-11,257,2018,4,2010-2020,Algerian Air Force,NA,NA,ICL,Algeria,,NA,Il
19,McDonnell,Douglas,257,237,20,0,1979-11-28,257,1979,11,70s,Air New Zealand Flight,Flight,NA,ENR,Antarctica,,NA,Douglas
20,McDonnell,Douglas,256,248,8,0,1985-12-12,256,1985,12,80s,Arrow Air Flight,NA,NA,ICL,Canada,YQX,1,Douglas
21,Antonov,An,251,0,2,249,1996-01-08,2,1996,1,90s,Air Africa,NA,NA,ICL,Congo,NLO,0.6,An
22,Boeing,777,239,227,12,0,2014-03-08,239,2014,3,2010-2020,Malaysia Airlines Flight,NA,NA,ENR,Indian Ocean,,NA,777
23,Airbus,A300B4,234,222,12,0,1997-09-26,234,1997,9,90s,Garuda Indonesia Flight,NA,NA,APR,Indonesia,MES,32,A300B4
24,Boeing,747,230,212,18,0,1996-07-17,230,1996,7,90s,TWA Flight,NA,NA,ENR,US,,NA,747
25,McDonnell,Douglas,229,215,14,0,1998-09-02,229,1998,9,90s,Swissair Flight,NA,NA,ENR,Canada,,NA,Douglas
26,Boeing,747,229,207,22,0,1997-08-06,229,1997,8,90s,Korean Air Flight,NA,NA,APR,US,GUM,4.8,747
27,Airbus,A330,228,216,12,0,2009-06-01,228,2009,6,2000-2010,Air France Flight,NA,NA,ENR,France,,NA,A330
28,Boeing,747,225,206,19,0,2002-05-25,225,2002,5,2000-2010,China Airlines Flight,NA,NA,ENR,Taiwan,,NA,747
29,Airbus,A321,224,217,7,0,2015-10-31,224,2015,10,2010-2020,Metrojet Flight,NA,NA,ENR,Egypt,,NA,A321
30,Boeing,767,223,213,10,0,1991-05-26,223,1991,5,90s,Lauda Air Flight,NA,NA,ENR,Thailand,,NA,767
31,Boeing,767,217,202,15,0,1999-10-31,217,1999,10,90s,EgyptAir Flight,NA,NA,ENR,US,,NA,767
32,Boeing,747,213,190,23,0,1978-01-01,213,1978,1,70s,Air India Flight,NA,NA,ENR,India,,NA,747
33,Airbus,A300B4,203,182,14,7,1998-02-16,196,1998,2,90s,China Airlines Flight,NA,NA,APR,Taiwan,TPE,0.06,A300B4
34,Tupolev,Tu,200,191,9,0,1985-07-10,200,1985,7,80s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
35,Airbus,A320,199,181,6,12,2007-07-17,187,2007,7,2000-2010,TAM Airlines Flight,NA,NA,LDG,Brazil,CGH,NA,A320
36,Douglas,DC,191,182,9,0,1974-12-04,191,1974,12,70s,Martinair Holland Flight,Flight,NA,ENR,Sri Lanka,,NA,DC
37,Boeing,737,189,181,8,0,2018-10-29,189,2018,10,2010-2020,Lion Air Flight,NA,NA,ENR,Indonesia,,NA,737
39,Boeing,757,189,176,13,0,1996-02-06,189,1996,2,90s,Birgenair Flight,NA,NA,ENR,Dominican Republic,,NA,757
40,Boeing,707,188,181,7,0,1975-08-03,188,1975,8,70s,Alia Royal Jordanian,NA,NA,ENR,Morocco,,NA,707
41,Ilyushin,Il,183,172,11,0,1987-05-09,183,1987,5,80s,LOT Polish Airlines Flight,NA,NA,ENR,Poland,WAW,6,Il
42,Douglas,DC,183,175,8,0,1978-11-15,183,1978,11,70s,Icel,ic Airlines Flight,NA,APR,Sri Lanka,CMB,2.1,DC
43,Boeing,747,181,162,19,0,1983-11-27,181,1983,11,80s,Avianca Flight,NA,NA,APR,Spain,MAD,12,747
44,McDonnell,Douglas,180,173,7,0,1981-12-01,180,1981,12,80s,Inex-Adria Aviopromet Flight,NA,NA,ENR,France,,NA,Douglas
45,Tupolev,Tu,178,169,5,4,1984-10-11,174,1984,10,80s,Aeroflot Flight,NA,NA,LDG,USSR,OMS,NA,Tu
46,Tupolev,Tu,178,165,13,0,1979-08-11,178,1979,8,70s,Aeroflot/Moldovia flight,Aeroflot flight,NA,ENR,USSR,,NA,Tu
47,Boeing,737,176,167,9,0,2020-01-08,176,2020,1,2010-2020,Ukraine International Airlines Flight,NA,NA,ICL,Iran,IKA,NA,737
48,Douglas,DC,176,167,9,0,1989-06-07,176,1989,6,80s,Surinam Airways Flight,NA,NA,APR,Surinam,PBM,3,DC
49,Hawker,Siddeley,176,162,14,0,1976-09-10,176,1976,9,70s,British Airways Flight,Inex Adria Flight,NA,ENR,Yugoslavia,,NA,Siddeley
50,Boeing,707,176,170,6,0,1973-01-22,176,1973,1,70s,Nigeria Airways,NA,NA,LDG,Nigeria,KAN,NA,707
51,Ilyushin,Il,174,164,10,0,1972-10-13,174,1972,10,70s,Aeroflot Flight,NA,NA,APR,USSR,SVO,11,Il
52,Tupolev,Tu,170,160,10,0,2006-08-22,170,2006,8,2000-2010,Pulkovo Flight,NA,NA,ENR,Ukraine,,NA,Tu
53,McDonnell,Douglas,170,156,14,0,1989-09-19,170,1989,9,80s,Union de Transports Aériens Flight,NA,NA,ENR,Niger,,NA,Douglas
54,Airbus,A310,169,159,10,0,2000-01-30,169,2000,1,90s,Kenya Airways Flight,NA,NA,ENR,Cote dIvoire,,NA,A310
55,Tupolev,Tu,168,156,12,0,2009-07-15,168,2009,7,2000-2010,Caspian Airlines Flight,NA,NA,ENR,Iran,,NA,Tu
56,Airbus,A300B4,167,155,12,0,1992-09-28,167,1992,9,90s,Pakistan International Airlines Flight,NA,NA,APR,Nepal,KTM,20,A300B4
57,Boeing,727,167,159,8,0,1986-03-31,167,1986,3,80s,Mexicana Flight,NA,NA,ENR,Mexico,,NA,727
58,Tupolev,Tu,166,156,10,0,1980-07-08,166,1980,7,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
59,Airbus,A320,162,155,7,0,2014-12-28,162,2014,12,2010-2020,Indonesia AirAsia Flight,NA,NA,ENR,Indonesia,,NA,A320
60,Boeing,727,162,155,7,0,1971-07-30,162,1971,7,70s,All Nippon Airways Flight,JASDF,NA,ENR,Japan,,NA,727
61,McDonnell,Douglas,160,152,8,0,2005-08-16,160,2005,8,2000-2010,West Caribbean Airways Flight,NA,NA,ENR,Venezuela,,NA,Douglas
62,Tupolev,Tu,160,146,14,0,1994-06-06,160,1994,6,90s,China Northwest Airlines Flight,NA,NA,ENR,China,,NA,Tu
63,McDonnell,Douglas,159,147,6,6,2012-06-03,153,2012,6,2010-2020,Dana Air Flight,NA,NA,APR,Nigeria,LOS,9.3,Douglas
64,Boeing,757,159,151,8,0,1995-12-20,159,1995,12,90s,American Airlines Flight,NA,NA,APR,Colombia,CLO,NA,757
65,Lockheed,C,159,151,8,0,1992-09-26,159,1992,9,90s,Nigerian Air Force,NA,NA,ENR,Nigeria,,NA,C
66,Boeing,747,159,140,19,0,1987-11-28,159,1987,11,80s,South African Airways Flight,NA,NA,ENR,Mauritius,,NA,747
67,Boeing,737,158,152,6,0,2010-05-22,158,2010,5,2000-2010,Air India Express Flight,NA,NA,LDG,India,IXE,NA,737
68,Boeing,737,157,149,8,0,2019-03-10,157,2019,3,2010-2020,Ethiopian Airlines Flight,NA,NA,ENR,Ethiopia,,NA,737
69,Boeing,727,157,147,10,0,1992-12-22,157,1992,12,90s,Libyan Arab Airlines Flight,Libyan Air Force,NA,APR,Libya,TIP,9,727
70,McDonnell,Douglas,156,148,6,2,1987-08-16,154,1987,8,80s,Northwest Airlines Flight,NA,NA,TOF,US,DTW,0.5,Douglas
71,Boeing,707,156,145,11,0,1979-11-26,156,1979,11,70s,Pakistan International Airlines Flight,NA,NA,ENR,Saudi Arabia,,NA,707
72,Ilyushin,Il,156,148,8,0,1972-08-14,156,1972,8,70s,Interflug,NA,NA,ENR,East Germany,,NA,Il
73,Convair,990,155,148,7,0,1972-12-03,155,1972,12,70s,Spantax Flight,NA,NA,ICL,Spain,TFN,0.33,990
74,McDonnell,Douglas,155,74,10,71,1969-03-16,84,1969,3,60s,Viasa Flight,NA,NA,ICL,Venezuela,MAR,0.85,Douglas
75,Lockheed,C,155,149,6,0,1968-05-12,155,1968,5,60s,US Air Force,NA,NA,ICL,South Vietnam,,NA,C
76,McDonnell,Douglas,154,148,6,0,2008-08-20,154,2008,8,2000-2010,Spanair Flight,NA,NA,TOF,Spain,MAD,0.5,Douglas
77,Boeing,737,154,148,6,0,2006-09-29,154,2006,9,2000-2010,Gol Transportes Aéreos Flight,ExcelAire,NA,ENR,Brazil,,NA,737
78,Boeing,727,154,146,8,0,1976-09-19,154,1976,9,70s,Turkish Airlines Flight,NA,NA,APR,Turkey,Isparta***[nb 9],NA,727
79,Boeing,727,153,138,7,8,1982-07-09,145,1982,7,80s,Pan Am Flight,NA,NA,ICL,US,MSY,1,727
80,Airbus,A321,152,146,6,0,2010-07-28,152,2010,7,2000-2010,Airblue Flight,NA,NA,APR,Pakistan,ISB,15,A321
81,Airbus,A310,152,141,11,0,2009-06-30,152,2009,6,2000-2010,Yemenia Flight,NA,NA,APR,Comoros,HAH,NA,A310
82,Airbus,A320,150,144,6,0,2015-03-24,150,2015,3,2010-2020,Germanwings Flight,NA,NA,ENR,France,,NA,A320
83,Ilyushin,II,150,115,11,24,1989-09-03,126,1989,9,80s,Cubana de Aviación Flight,NA,NA,ICL,Cuba,HAV,1.5,II
84,Boeing,737,149,95,5,49,2005-09-05,100,2005,9,2000-2010,Mandala Airlines Flight,ala Airlines Flight,NA,ICL,Indonesia,MES,NA,737
85,BAC,One,149,64,7,78,2002-05-04,71,2002,5,2000-2010,EAS Airlines Flight,NA,NA,ENR,Nigeria,,NA,One
86,Boeing,737,148,135,13,0,2004-01-03,148,2004,1,2000-2010,Flash Airlines Flight,NA,NA,ENR,Egypt,,NA,737
87,Boeing,727,148,141,7,0,1985-02-19,148,1985,2,80s,Iberia Airlines Flight,NA,NA,ENR,Spain,,NA,727
88,Boeing,727,146,138,8,0,1980-04-25,146,1980,4,70s,Dan-Air Flight,NA,NA,APR,Spain,TFN,12,727
89,Tupolev,Tu,145,136,9,0,2001-07-04,145,2001,7,2000-2010,Vladivostok Air Flight,NA,NA,APR,Russia,IKT,23,Tu
90,Boeing,727,144,134,10,0,1996-11-07,144,1996,11,90s,ADC Airlines Flight,NA,NA,APR,Nigeria,LOS,56,727
91,Boeing,707,144,137,7,0,1989-02-08,144,1989,2,80s,Independent Air Flight,NA,NA,APR,Portugal,SMA,6.6,707
92,Boeing,727,144,128,9,7,1978-09-25,137,1978,9,70s,PSA Flight,Private aircraft,NA,APR,US,SAN,5.6,727
93,Airbus,A320,143,135,8,0,2000-08-23,143,2000,8,90s,Gulf Air Flight,NA,NA,APR,Bahrain,BAH,2,A320
94,Boeing,727,143,136,7,0,1988-03-17,143,1988,3,80s,Avianca Flight,NA,NA,ENR,Colombia,,NA,727
95,Boeing,727,141,136,5,0,2003-12-25,141,2003,12,2000-2010,UTAGE Flight,NA,NA,TOF,Benin,COO,1,727
96,Tupolev,Tu,141,130,11,0,1996-08-29,141,1996,8,90s,Vnukovo Airlines Flight,NA,NA,APR,Norway,LYR,14.3,Tu
97,Lockheed,L,141,137,4,0,1995-12-18,141,1995,12,90s,Trans Service Airlift,NA,NA,TOF,Angola,,NA,L
98,Boeing,737,141,131,10,0,1992-11-24,141,1992,11,90s,China Southern Airlines Flight,NA,NA,APR,China,KWL,20,737
99,Lockheed,C,139,110,12,17,2015-06-30,122,2015,6,2010-2020,Indonesian Air Force,NA,NA,ICL,Indonesia,MES,1,C
100,Lockheed,C,138,127,11,0,1975-04-04,138,1975,4,70s,US Air Force,NA,NA,ENR,South Vietnam,,NA,C
101,Lockheed,L,137,128,8,1,1985-08-02,136,1985,8,80s,Delta Air Lines Flight,NA,NA,APR,US,DFW,NA,L
102,Boeing,727,137,128,9,0,1982-06-08,137,1982,6,80s,VASP Flight,NA,NA,APR,Brazil,FOR,25,727
103,Lockheed,C,135,121,12,2,1991-10-05,133,1991,10,90s,Indonesian Air Force,NA,NA,ICL,Indonesia,HLP,3,C
104,Douglas,DC,134,116,12,6,1960-12-16,128,1960,12,50s,United Airlines Flight,TWA Flight,NA,APR,US,LGA,NA,DC
105,Tupolev,Tu,133,119,14,0,1993-02-08,133,1993,2,90s,Iran Air Tours EP-ITD,Iranian Air Force Su-,NA,APR/TOF,Iran,THR,15,Tu
106,Boeing,737,133,127,6,0,1988-10-19,133,1988,10,80s,Indian Airlines Flight,NA,NA,APR,India,AMD,5,737
107,Boeing,727,133,126,7,0,1966-02-04,133,1966,2,60s,All Nippon Airways Flight,NA,NA,APR,Japan,HND,12,727
108,Boeing,737,132,127,5,0,1994-09-08,132,1994,9,90s,USAir Flight,NA,NA,APR,US,PIT,13,737
109,Boeing,727,132,125,7,0,1993-05-19,132,1993,5,90s,SAM Colombia Flight,NA,NA,ENR,Colombia,,NA,727
110,Yakovlev,Yak,132,124,8,0,1982-06-28,132,1982,6,80s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Yak
111,Boeing,737,131,124,7,0,2000-04-19,131,2000,4,90s,Air Philippines Flight,NA,NA,APR,Philippines,DVO,7.5,737
112,Boeing,727,131,127,4,0,1989-10-21,131,1989,10,80s,Tan-Sahsa Flight,NA,NA,APR,Honduras,TGU,9,727
113,Boeing,727,131,125,6,0,1977-11-19,131,1977,11,70s,TAP Portugal Flight,NA,NA,LDG,Madeira,FNC,NA,727
114,Boeing,737,130,126,4,0,1983-11-08,130,1983,11,80s,TAAG Angola Airlines,NA,NA,ICL,Angola,SDD,1,737
115,Boeing,707,130,122,8,0,1962-06-03,130,1962,6,60s,Air France Flight,NA,NA,TOF,France,ORY,NA,707
116,Boeing,767,129,121,8,0,2002-04-15,129,2002,4,2000-2010,Air China Flight,NA,NA,APR,South Korea,PUS,4.6,767
117,Douglas,C,129,122,7,0,1953-06-18,129,1953,6,50s,US Air Force,NA,NA,APR,Japan,RJTC,5.6,C
119,Boeing,737,128,121,7,0,1990-10-02,128,1990,10,80s,Xiamen Air Flight,China Southern,China Southwest Flight,LDG/STD,China,***,NA,737
120,Boeing,727,128,120,8,0,1980-01-21,128,1980,1,70s,Iran Air Flight,NA,NA,APR,Iran,THR,29,727
121,Douglas,DC,128,117,11,0,1956-06-30,128,1956,6,50s,United Airlines Flight,TWA Flight,NA,ENR,US,,NA,DC
122,Boeing,737,127,121,6,0,2012-04-20,127,2012,4,2010-2020,Bhoja Air Flight,NA,NA,APR,Pakistan,ISB,NA,737
123,Mil,Mi,127,127,0,0,2002-08-19,127,2002,8,2000-2010,Russian Air Force,NA,NA,APR,Russia,,NA,Mi
124,Ilyushin,Il,126,115,11,0,1975-08-20,126,1975,8,70s,ČSA Flight,NA,NA,APR,Syria,DAM,17,Il
125,Bristol,Britannia,126,117,9,0,1967-04-20,126,1967,4,60s,Globe Air,NA,NA,APR,Cyprus,NIC,3.5,Britannia
126,Airbus,A310,125,120,5,0,2006-07-09,125,2006,7,2000-2010,Sibir,NA,NA,LDG,Russia,IKT,NA,A310
127,Boeing,767,125,119,6,0,1996-11-23,125,1996,11,90s,Ethiopian Airlines Flight,NA,NA,APR,Comoros,HAH[nb 16],0.5,767
128,Tupolev,Tu,125,115,9,1,1994-01-03,124,1994,1,90s,Baikal Air Flight,NA,NA,ENR,Russia,,NA,Tu
129,Boeing,707,124,113,11,0,1966-03-05,124,1966,3,60s,BOAC Flight,NA,NA,ENR,Japan,,NA,707
130,Boeing,737,123,117,6,0,1996-02-29,123,1996,2,90s,Faucett Flight,NA,NA,APR,Peru,AQP,6.3,737
131,Boeing,707,123,116,7,0,1973-07-11,123,1973,7,70s,Varig Flight,NA,NA,APR,France,ORY,5,707
132,Boeing,707,123,111,12,0,1968-04-20,123,1968,4,60s,South African Airways Flight,NA,NA,ICL,Namibia,WDH,5,707
133,Shaanxi,Y,122,108,14,0,2017-06-07,122,2017,6,2010-2020,Myanmar Air Force,NA,NA,ENR,Myanmar,,NA,Y
134,Tupolev,Tu,122,114,8,0,1973-10-13,122,1973,10,70s,Aeroflot Flight,NA,NA,APR,USSR,DME,17,Tu
135,Antonov,An,122,115,7,0,1972-05-18,122,1972,5,70s,Aeroflot Flight,NA,NA,APR,USSR,HRK,24,An
136,Boeing,737,121,115,6,0,2005-08-14,121,2005,8,2000-2010,Helios Airways Flight,NA,NA,ENR,Greece,,NA,737
137,Boeing,720,121,108,13,0,1965-05-20,121,1965,5,60s,Pakistan International Airlines Flight,NA,NA,APR,Egypt,CAI,NA,720
138,Ilyushin,Il,120,110,10,0,1969-06-23,120,1969,6,60s,Aeroflot Flight,Soviet Air Force An-,NA,ENR,USSR,,NA,Il
139,Tupolev,Tu,119,107,12,0,2002-02-12,119,2002,2,2000-2010,Iran Air Tours Flight,NA,NA,APR,Iran,KHD,NA,Tu
140,Boeing,737,119,111,8,0,1983-07-11,119,1983,7,80s,TAME Ecuador,NA,NA,APR,Ecuador,CUE,1.5,737
141,McDonnell,Douglas,118,106,8,4,2001-10-08,114,2001,10,2000-2010,SAS Flight,Private aircraft,NA,TOF/TXI,Italy,LIN,NA,Douglas
142,Hawker,Siddeley,118,109,9,0,1972-06-18,118,1972,6,70s,British European Airways Flight,NA,NA,ICL,United Kingdom,LHR,5.5,Siddeley
143,Douglas,DC,118,111,7,0,1963-11-29,118,1963,11,60s,Trans-Canada Air Lines Flight,NA,NA,ENR,Canada,,NA,DC
144,Boeing,737,117,111,6,0,2005-10-22,117,2005,10,2000-2010,Bellview Airlines Flight,NA,NA,ENR,Nigeria,,NA,737
145,Boeing,737,116,105,11,0,2003-07-08,116,2003,7,2000-2010,Sudan Airways Flight,NA,NA,APR,Sudan,PZU,5,737
146,Boeing,707,117,106,11,0,1966-01-24,117,1966,1,60s,Air India Flight,NA,NA,ENR,France,,NA,707
147,McDonnell,Douglas,116,110,6,0,2014-07-24,116,2014,7,2010-2020,Air Algérie Flight,NA,NA,ENR,Mali,,NA,Douglas
148,Yakovlev,Yak,116,108,8,0,1993-11-20,116,1993,11,90s,Avioimpex Flight,NA,NA,APR,Macedonia,OHD,2,Yak
149,Boeing,707,115,104,11,0,1987-11-29,115,1987,11,80s,Korean Air Flight,NA,NA,ENR,Burma,,NA,707
150,McDonnell,Douglas,115,108,7,0,1972-05-05,115,1972,5,70s,Alitalia Flight,NA,NA,APR,Italy,PMO,5,Douglas
151,Boeing,737,114,108,6,0,2007-05-05,114,2007,5,2000-2010,Kenya Airways Flight,NA,NA,ENR,Cameroon,,NA,737
152,Airbus,A320,113,105,8,0,2006-05-03,113,2006,5,2000-2010,Armavia Flight,NA,NA,APR,Russia,AER,6,A320
153,Aérospatiale,BAC,113,100,9,4,2000-07-25,109,2000,7,90s,Air France Flight,NA,NA,ICL,France,CDG,3.5,BAC
154,Airbus,A310,113,99,14,0,1992-07-31,113,1992,7,90s,Thai Airways International Flight,NA,NA,ENR,Nepal,,NA,A310
155,Boeing,727,113,107,6,0,1975-06-24,113,1975,6,70s,Eastern Air Lines Flight,NA,NA,APR,US,JFK,0.73,727
156,Boeing,707,113,103,10,0,1962-06-22,113,1962,6,60s,Air France Flight,NA,NA,APR,West Indies,PTP,25,707
157,Boeing,737,112,106,6,0,2018-05-18,112,2018,5,2010-2020,Cubana de Aviación Flight,NA,NA,ICL,Cuba,HAV,10,737
158,McDonnell,Douglas,112,103,9,0,2002-05-07,112,2002,5,2000-2010,China Northern Airlines Flight,NA,NA,APR,China,DLC,20,Douglas
159,McDonnell,Douglas,112,111,1,0,1989-07-19,112,1989,7,80s,United Airlines Flight,NA,NA,LDG,US,SUX,NA,Douglas
160,Boeing,737,112,107,5,0,1983-09-23,112,1983,9,80s,Gulf Air Flight,NA,NA,APR,United Arab Emirates,AUH,80,737
161,Hawker,Siddeley,112,104,8,0,1982-04-26,112,1982,4,80s,Civil Aviation Administration of China Flight,NA,NA,APR,China,KWL,60,Siddeley
162,Sud,Aviation,112,106,6,0,1972-03-14,112,1972,3,70s,Sterling Airways Flight,NA,NA,ENR,United Arab Emirates,,NA,Aviation
163,de,Havilland,112,105,7,0,1970-07-03,112,1970,7,60s,Dan-Air,NA,NA,ENR,Spain,,NA,Havilland
164,Ilyushin,Il,111,100,11,0,1976-03-06,111,1976,3,70s,Aeroflot/Armenia Flight,NA,NA,ENR,USSR,,NA,Il
165,Boeing,727,111,104,7,0,1971-09-04,111,1971,9,70s,Alaska Airlines Flight,NA,NA,APR,US,JNU,30,727
166,Canadair,CL,111,0,4,107,1966-12-24,4,1966,12,60s,Flying Tiger Line,NA,NA,APR,Vietnam,DAD,NA,CL
167,Douglas,DC,111,101,10,0,1962-03-04,111,1962,3,60s,Caledonian Airways Flight,NA,NA,ICL,Cameroon,DLA,2.5,DC
168,McDonnell,Douglas,110,105,5,0,1996-05-11,110,1996,5,90s,ValuJet Flight,NA,NA,ENR,US,,NA,Douglas
169,Tupolev,154B,110,103,7,0,1984-12-23,110,1984,12,80s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,154B
170,Boeing,737,110,104,6,0,1981-08-22,110,1981,8,80s,Far Eastern Air Transport Flight,NA,NA,ENR,Taiwan,,NA,737
171,Ilyushin,Il,109,102,7,0,1974-04-27,109,1974,4,70s,Aeroflot,NA,NA,APR,USSR,LED,2.5,Il
172,Ilyushin,Il,109,101,8,0,1972-10-01,109,1972,10,70s,Aeroflot Flight,NA,NA,ICL,USSR,AER,4,Il
173,McDonnell,Douglas,109,100,9,0,1970-07-05,109,1970,7,60s,Air Canada Flight,NA,NA,LDG,Canada,YYZ,11,Douglas
174,McDonnell,Douglas,108,101,7,0,2005-12-10,108,2005,12,2000-2010,Sosoliso Airlines Flight,NA,NA,LDG,Nigeria,PHC,NA,Douglas
175,Tupolev,Tu,108,100,8,0,1993-09-22,108,1993,9,90s,Transair Georgia,NA,NA,APR,Georgia,SUI,NA,Tu
176,Yakovlev,Yak,108,100,8,0,1992-07-31,108,1992,7,90s,China General Aviation Flight,NA,NA,ICL,China,NKG,0.6,Yak
177,Ilyushin,Il,108,98,10,0,1988-01-18,108,1988,1,80s,China Southwest Airlines Flight,NA,NA,APR,China,CKG,NA,Il
178,McDonnell,Douglas,108,103,5,0,1978-12-23,108,1978,12,70s,Alitalia Flight,NA,NA,APR,Italy,PMO,3,Douglas
179,Tupolev,Tu,108,100,8,0,1973-09-30,108,1973,9,70s,Aeroflot Flight,NA,NA,ICL,USSR,SVX,10,Tu
180,Vickers,952,108,104,4,0,1973-04-10,108,1973,4,70s,Invicta International Airlines Flight,NA,NA,APR,Switzerland,BSL,15,952
181,Boeing,727,108,100,8,0,1973-02-21,108,1973,2,70s,Libyan Arab Airlines Flight,NA,NA,ENR,Israel,,NA,727
182,Boeing,727,107,101,6,0,1989-11-27,107,1989,11,80s,Avianca Flight,NA,NA,ENR,Colombia,,NA,727
183,Boeing,707,107,96,11,0,1974-04-22,107,1974,4,70s,Pan Am Flight,NA,NA,APR,Indonesia,DPS,68,707
184,Ilyushin,Il,107,99,8,0,1967-11-16,107,1967,11,60s,Aeroflot Flight,NA,NA,ICL,USSR,SVX,2.9,Il
185,Lockheed,L,107,96,11,0,1962-03-16,107,1962,3,60s,Flying Tiger Line Flight,NA,NA,ENR,Pacific Ocean,,NA,L
186,Lockheed,C,106,84,10,12,2005-12-06,94,2005,12,2000-2010,Iranian Air Force,NA,NA,APR,Iran,THR,NA,C
187,Sud,Aviation,106,99,7,0,1973-12-22,106,1973,12,70s,Royal Air Maroc Caravelle,NA,NA,ENR,Morocco,,NA,Aviation
188,Boeing,737,104,96,8,0,2005-02-03,104,2005,2,2000-2010,Kam Air Flight,NA,NA,ENR,Afghanistan,,NA,737
189,McDonnell,Douglas,104,99,5,0,1998-02-02,104,1998,2,90s,Cebu Pacific Air Flight,NA,NA,ENR,Philippines,,NA,Douglas
190,Boeing,737,104,97,7,0,1997-12-19,104,1997,12,90s,SilkAir Flight,NA,NA,ENR,Indonesia,,NA,737
191,Sud,Aviation,104,98,6,0,1972-01-07,104,1972,1,70s,Iberia Airlines Flight,NA,NA,APR,Spain,IBZ,NA,Aviation
192,Vickers,Viscount,104,11,6,87,1963-02-01,17,1963,2,60s,Middle East Airlines Flight,Turkish Air Force,NA,APR/ENR,Turkey,ESB,NA,Viscount
193,Airbus,A330,103,92,11,0,2010-05-12,103,2010,5,2000-2010,Afriqiyah Airways Flight,NA,NA,APR,Libya,TIP,NA,A330
194,Lockheed,C,103,96,7,0,1986-11-02,103,1986,11,80s,Iranian Air Force,NA,NA,APR,Iran,,NA,C
195,Boeing,737,102,96,6,0,2007-01-01,102,2007,1,2000-2010,Adam Air Flight,NA,NA,ENR,Indonesia,,NA,737
196,Boeing,737,102,96,6,0,2003-03-06,102,2003,3,2000-2010,Air Algérie Flight,NA,NA,ICL,Algeria,TMR,1.6,737
197,McDonnell,Douglas,102,97,5,0,1970-02-15,102,1970,2,60s,Dominicana de Aviación,NA,NA,ICL,Dominican Republic,SDQ,3,Douglas
198,Airbus,A310,101,90,11,0,1998-12-11,101,1998,12,90s,Thai Airways Flight,NA,NA,APR,Thailand,URT,NA,A310
199,Lockheed,L,101,94,7,0,1972-12-29,101,1972,12,70s,Eastern Air Lines Flight,NA,NA,APR,US,MIA,33.6,L
200,Ilyushin,Il,101,92,9,0,1972-08-31,101,1972,8,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
201,Lockheed,L,101,92,7,2,1970-08-09,99,1970,8,60s,LANSA Flight,NA,NA,ICL,Peru,CUZ,NA,L
202,Douglas,DC,101,95,6,0,1963-06-03,101,1963,6,60s,Northwest Airlines Flight,NA,NA,ENR,US,,NA,DC
203,Boeing,737,100,93,7,0,1977-12-04,100,1977,12,70s,Malaysian Airline System Flight,NA,NA,ENR,Malaysia,,NA,737
204,Ilyushin,Il,100,93,7,0,1969-03-20,100,1969,3,60s,United Arab Airlines,NA,NA,LDG,Egypt,ASW,NA,Il
205,Lockheed,C,NA,NA,NA,2,2009-05-20,NA,2009,5,2000-2010,Indonesian Air Force,NA,NA,APR,Indonesia,MDN,9,C
206,Fokker,100,99,90,6,3,1996-10-31,96,1996,10,90s,TAM Airlines Flight,NA,NA,ICL,Brazil,CGH,1.5,100
207,Tupolev,Tu,99,95,4,0,1981-11-16,99,1981,11,80s,Aeroflot Flight,NA,NA,APR,USSR,NSK,0.47,Tu
208,Lockheed,L,99,91,8,0,1958-08-14,99,1958,8,50s,KLM Flight,NA,NA,ENR,Ireland,,NA,L
209,Tupolev,Tu,98,90,8,0,1995-12-06,98,1995,12,90s,Khabarovsk United Air Flight,NA,NA,ENR,Russia,,NA,Tu
210,Lockheed,C,98,92,6,0,1991-03-21,98,1991,3,90s,Royal Saudi Air Force,NA,NA,APR,Saudi Arabia,OERM,NA,C
211,Antonov,An,98,92,6,0,1968-02-07,98,1968,2,60s,Indian Air Force Flight,NA,NA,ENR,India,,NA,An
212,Bristol,175,98,92,6,0,1966-09-01,98,1966,9,60s,Britannia Airways Flight,NA,NA,APR,Yugoslavia,LJU,3,175
213,Boeing,707,97,87,10,0,1974-01-30,97,1974,1,70s,Pan Am Flight,NA,NA,APR,American Samoa,PPG,1.2,707
214,Tupolev,Tu,97,93,4,0,1971-07-25,97,1971,7,70s,Aeroflot Flight,NA,NA,APR,USSR,IKT,0.15,Tu
215,Boeing,707,97,80,17,0,1962-11-27,97,1962,11,60s,Varig Flight,NA,NA,APR,Peru,LIM,NA,707
216,Tupolev,Tu,96,88,8,0,2010-04-10,96,2010,4,2000-2010,Polish Air Force,NA,NA,APR,Russia,***,NA,Tu
